,tags
0,"['casual', 'shorts', 'print', 'shirt']"
1,"['casual', 'dress', 'sexy', 'party']"
2,"['beach', 'sport']"
3,"['sleeveless', 'shorts', 'shirt', 'v-neck', 'cotton']"
4,"['casual', 'plus size', 'shorts', 'loose', 'pants', 'lace']"
5,"['casual', 'plus size', 'jumpsuit']"
6,"['plus size', 'sleeveless', 'shirt', 'v-neck', 'blouse', 'lace']"
7,"['dress', 'shirt']"
8,"['casual', 'sleeveless', 'dress', 'shorts', 'slim']"
9,"['casual', 'plus size', 'sleeveless', 'shorts', 'print', 'shirt', 'v-neck', 'loose', 'blouse']"
10,"['casual', 'plus size', 'dress']"
11,"['casual', 'plus size', 'sleeveless', 'shorts', 'sexy', 'shirt', 'v-neck', 'blouse']"
12,"['shorts', 'loose', 'pants']"
13,"['casual', 'plus size', 'beach', 'shirt', 'v-neck', 'tank top', 'blouse', 'vest']"
14,"['casual', 'dress', 'v-neck', 'loose']"
15,"['plus size', 'sleeveless', 'shirt']"
16,"['casual', 'dress', 'v-neck', 'party']"
17,"['plus size', 'sexy', 'blouse', 'lace']"
18,"['casual', 'dress', 'sexy', 'tank top', 'ladies']"
19,"['casual', 'plus size', 'v-neck', 'tank top', 'blouse', 'vest', 'slim']"
20,"['sexy', 'sport', 'bikini']"
21,"['sexy', 'shirt', 'tank top', 'cotton', 'vest', 'lace', 'slim']"
22,"['casual', 'plus size', 'sexy', 'beach', 'v-neck', 'tank top', 'cotton', 'vest']"
23,"['casual', 'plus size', 'sleeveless', 'shorts', 'shirt', 'cotton', 'blouse', 'slim']"
24,"['dress', 'sexy', 'shirt', 'v-neck', 'tank top', 'ladies', 'vest']"
25,"['casual', 'tank top', 'vest']"
26,"['lace', 'sport', 'bikini']"
27,"['casual', 'sexy', 'print', 'shirt', 'tank top', 'cotton', 'vest', 'slim']"
28,"['v-neck', 'tank top', 'vest', 'lace', 'slim']"
29,"['casual', 'plus size', 'shorts', 'cotton']"
30,"['plus size', 'sleeveless', 'dress', 'shorts', 'print', 'party']"
31,"['shirt', 'tank top', 'vest']"
32,"['casual', 'dress', 'beach', 'print', 'ladies', 'slim']"
33,"['casual', 'shirt', 'vest']"
34,"['casual', 'plus size', 'tank top', 'loose', 'vest', 'lace']"
35,"['plus size', 'sleeveless', 'shorts', 'sexy', 'print', 'blouse']"
36,"['casual', 'plus size', 'v-neck', 'vest']"
37,"['shorts', 'sexy', 'ladies', 'pants']"
38,"['print', 'shirt', 'v-neck', 'cotton', 'loose']"
39,"['casual', 'plus size', 'dress', 'print', 'lace', 'slim', 'waist']"
40,"['casual', 'dress', 'beach', 'shirt', 'blouse']"
41,"['dress', 'sexy', 'print']"
42,"['casual', 'shorts', 'cotton', 'pants']"
43,"['casual', 'sleeveless', 'shorts', 'shirt', 'v-neck', 'cotton']"
44,['ladies']
45,"['casual', 'sexy', 'tank top', 'ladies', 'vest', 'sport']"
46,"['casual', 'sleeveless', 'shorts', 'sport']"
47,"['dress', 'shorts', 'beach', 'jumpsuit']"
48,"['casual', 'plus size', 'sleeveless', 'dress', 'print', 'v-neck', 'loose', 'lace']"
49,"['plus size', 'shirt']"
50,"['casual', 'plus size', 'shirt', 'v-neck', 'tank top', 'loose', 'vest']"
51,"['beach', 'sport', 'bikini']"
52,"['plus size', 'print', 'shirt', 'tank top', 'cotton', 'vest', 'slim']"
53,"['casual', 'plus size', 'dress', 'v-neck', 'loose']"
54,"['casual', 'plus size', 'dress', 'shorts', 'print', 'party']"
55,"['dress', 'sexy', 'beach', 'v-neck', 'lace']"
56,"['casual', 'dress', 'beach', 'v-neck', 'loose']"
57,"['plus size', 'sexy', 'v-neck', 'tank top']"
58,"['casual', 'dress', 'print', 'v-neck']"
59,"['casual', 'plus size', 'dress', 'v-neck']"
60,"['casual', 'shorts', 'pants', 'slim', 'sport']"
61,"['casual', 'pants']"
62,"['casual', 'plus size', 'shorts', 'loose', 'pants', 'lace']"
63,"['dress', 'cotton', 'ladies']"
64,"['casual', 'shorts', 'sexy', 'beach', 'print', 'ladies', 'jumpsuit']"
